Video: 日语 N5 词汇 Lesson 1【家族・人】①
URL: https://www.youtube.com/watch?v=QBhL5VtfXEc

============================================================

みなさんこんにちは日本語チャンネルの青木です今日はN5個イレッスン1を勉強してきましょう私私私私あなた彼彼彼女お母さんお母さん母母お父さん父さん父父...

============================================================

Detailed Segments:

[0.00s - 4.00s] みなさんこんにちは
[4.00s - 8.00s] 日本語チャンネルの青木です
[8.00s - 12.00s] 今日はN5個イレッスン1を勉強してきましょう
[30.00s - 40.00s] 私
[40.00s - 48.00s] 私
[58.00s - 68.00s] あなた
[68.00s - 78.00s] 彼
[84.00s - 90.00s] 彼女
[90.00s - 96.00s] お母さん
[96.00s - 102.00s] お母さん
[102.00s - 106.00s] 母
